obs_id,middle_mjds,mjd_range,flux,flux_er_neg,flux_er_pos,uplims,model,cstat_bool,redchi2,binning
00030034165pc,60896.63474781497,0.009431394675630145,1.617055534263581e-09,5.869072912273265e-11,6.105829240010428e-11,,powerlaw+bbodyrad,,0.7834096234046922,True
00030034166pc,60897.67184488627,0.008851001155562699,1.590817739381359e-09,6.449105020446558e-11,7.144641443589927e-11,,powerlaw+bbodyrad,,1.2929597739684755,True
00030034167pc,60898.64343473071,0.0073419780092081055,1.573458298994061e-09,8.060002978343609e-11,7.704577004692227e-11,,powerlaw+bbodyrad,,1.0473140764218205,True
00030034168wt,60899.37009268993,0.012338136119069532,1.773332587671619e-09,2.4440675752429312e-11,2.4679999452893397e-11,,powerlaw+bbodyrad,,1.4380064573518965,True
00030034169wt,60900.66119559291,0.014909700868884102,1.2059688456880584e-09,1.2733489004609162e-11,1.290357139811226e-11,,powerlaw+bbodyrad,,1.7784213600515657,True
00030034170wt,60901.1726156416,0.010124655113031622,1.3205844192089319e-09,2.3329760628934296e-11,2.3592139326733233e-11,,powerlaw+bbodyrad,,1.307583963004933,True
00030034171wt,60902.61292505262,0.010048429205198772,1.281101675308903e-09,1.5770599391913706e-11,1.602621946975232e-11,,powerlaw+bbodyrad,,1.6418904206846612,True
00030034172wt,60903.71390974973,0.01225846118904883,1.293494914332994e-09,1.433049063824367e-11,1.4510354889825968e-11,,powerlaw+bbodyrad,,1.2098184202910036,True
00030034173wt,60904.62189598178,0.010175069932301994,1.2104130578189865e-09,1.5434875453944644e-11,1.55998763864583e-11,,powerlaw+bbodyrad,,1.3214175861787851,True
00030034175wt,60905.4667018061,0.007985646239831112,1.0183396307548882e-09,1.559825757609645e-11,1.5858279890435973e-11,,powerlaw+bbodyrad,,1.0472752213374668,True
00030034176wt,60906.20958603703,0.20557366366847418,8.963754878599498e-10,1.2202017867998863e-11,1.24160539854713e-11,,powerlaw+bbodyrad,,1.1152083833802924,True
00030034177wt,60907.132000369165,0.0027172325499122962,1.0196737980220908e-09,2.801850082379394e-11,2.8199030225791342e-11,,powerlaw+bbodyrad,,0.9011182358642432,True
00030034178wt,60908.316135702786,0.010566923454462085,7.378038572635564e-10,1.7158899800587983e-11,1.734984248020724e-11,,powerlaw+bbodyrad,,1.1621600596894526,True
00030034179wt,60909.87289738651,0.009501923814241309,5.748050800949806e-10,9.724052981962112e-12,9.91306588941047e-12,,powerlaw+bbodyrad,,1.1266523297188367,True
00030034180wt,60910.19513574688,0.010918432875769213,5.480030830053035e-10,8.969973028851362e-12,9.126088418471514e-12,,powerlaw+bbodyrad,,1.0119733985131658,True
00030034183wt,60913.046734051255,0.010499657386390027,4.897696172216413e-10,8.412525655848092e-12,8.570212719033567e-12,,powerlaw+bbodyrad,,1.0849851448906593,True
00030034184wt,60914.01859925466,0.009828139191085938,2.903747163578397e-10,6.332114524793713e-12,6.486854951977663e-12,,powerlaw+bbodyrad,,1.8057178724847345,True
03400184001wt,60917.38153724956,0.017285239599004854,3.147331760584313e-10,4.917972674240307e-12,4.99451579732565e-12,,powerlaw+bbodyrad,,1.3131555864183495,True
00030034187wt,60918.1669444954,0.007546587759861723,1.5233958128124223e-10,5.161999912162546e-12,5.391201428530825e-12,,powerlaw+bbodyrad,,1.2256969595422638,True
00030034188wt,60922.63432413913,0.006129871551820543,2.0617025093531488e-10,6.9430551916338276e-12,7.211086384392059e-12,,powerlaw+bbodyrad,,0.9747181036035919,True
00030034190wt,60923.63812181042,1.2387891594262328,5.612138619121452e-11,2.235295760086825e-12,2.3739006546274763e-12,,powerlaw+bbodyrad,,1.908001789806545,True
00030034191wt,60926.968254887324,0.00022053409338695928,1.9046123211843297e-10,3.8802981420823296e-11,7.228772104835332e-11,,powerlaw+bbodyrad,,0.6221019008403565,False
00030034191pc,60926.97405781821,0.011346693288942333,1.8099726775184736e-10,1.6610998462495966e-11,2.152697719559803e-11,,powerlaw+bbodyrad,,0.6653230250225337,True
00030034194wt,60927.03415236502,0.00034408902865834534,1.1270000374227024e-10,2.033390445393718e-11,2.583079040394253e-11,,powerlaw+bbodyrad,,0.6841583400470649,False
00030034194pc,60927.03933509333,0.009982768511690665,1.2122471397455046e-10,1.113624482627272e-11,1.2168229255786114e-11,,powerlaw+bbodyrad,,0.994422165291029,True
00030034195wt,60927.6228108337,0.0003935167915187776,1.0796388781288523e-10,1.8385856787727444e-11,2.161734246450356e-11,,powerlaw+bbodyrad,,0.688114515510683,False
00030034195pc,60927.6281200645,0.010185906248807441,1.3752585311405468e-10,1.149705605874088e-11,1.4751335066861063e-11,,powerlaw+bbodyrad,,1.3266571823085807,True
00030034196wt,60927.883633746256,0.0033216641095350496,2.218447677059425e-10,8.70552205341656e-12,9.163091535095879e-12,,powerlaw+bbodyrad,,1.0132064368692655,True
00030034196pc,60927.88911541346,0.00760315509251086,2.465548140103386e-10,1.617303575992148e-11,1.7429894398623367e-11,,powerlaw+bbodyrad,,1.9597876128454161,True
00030034197wt,60928.04414022941,0.0792589110933477,2.543798108905762e-10,5.780254381837385e-12,6.025710843536296e-12,,powerlaw+bbodyrad,,1.1169649687238037,True
00030034198wt,60928.297333964205,0.06898061945685185,2.5745171144619046e-10,7.09394331751331e-12,7.727624781920657e-12,,powerlaw+bbodyrad,,1.1665468251390716,True
00030034199wt,60928.55736916249,0.07099520028714323,2.157016199666784e-10,6.298252002502266e-12,6.400320730207492e-12,,powerlaw+bbodyrad,,1.434031431219011,True
00030034199pc,60928.55798905374,0.06985211434948724,1.5599602839335748e-10,1.8269676425722874e-11,2.285157370036302e-11,,powerlaw+bbodyrad,,1.1757663217694956,True
00030034200pc,60928.7998563616,0.0014219641234376468,2.3455976216593933e-10,3.6256057923874696e-11,5.0328383118750436e-11,,powerlaw+bbodyrad,,0.875212432600772,False
00030034200wt,60928.85366881256,0.12716949243622366,2.188237226736564e-10,5.00665334042625e-12,5.0604547698647996e-12,,powerlaw+bbodyrad,,1.1493465491760337,True
00030034202pc,60930.37133311293,0.20015180403424893,1.5315679541662653e-11,1.947166117619785e-12,2.430509021001752e-12,,powerlaw+bbodyrad,,1.0838477079210092,False
00030034201pc,60931.19033736634,0.010737335185694974,9.359697099849041e-12,1.449265911414346e-12,1.4833220788781088e-12,,powerlaw+bbodyrad,,1.1022982550953566,False
00030034204wt,60933.64777762865,0.0002699585384107195,2.649701024997643e-10,9.411929631488562e-11,6.27897031288755e-11,,powerlaw+bbodyrad,,0.6574145026304805,False
00030034204pc,60933.65341863083,0.010969437498715706,1.562721701837727e-10,2.217457312583902e-11,2.2978494644388022e-11,,powerlaw+bbodyrad,,1.05957905024397,True
00030034205wt,60934.84043800981,0.05993120823404752,1.1004569900501747e-10,1.4842876341829264e-11,1.841152261835856e-11,,powerlaw+bbodyrad,,0.7183827709019701,False
00030034205pc,60934.842562931735,0.06320707477425458,1.1672886151843033e-10,1.0179998084803212e-11,1.3196509399373357e-11,,powerlaw+bbodyrad,,1.6345864165063906,True
00030034208pc,60938.3190410924,0.0060941319388803095,2.3183163723978756e-10,2.030603619940033e-11,2.321972022462218e-11,,powerlaw+bbodyrad,,0.6674938886279275,True
00030034208wt,60938.473257576494,0.322716729111562,2.1964610672002272e-10,6.390771304766427e-12,7.075039241751989e-12,,powerlaw+bbodyrad,,1.1897277108784325,True
00030034209pc,60943.10098101356,0.010273045372741763,1.2269532298907802e-11,1.2483172425215749e-12,1.5114846390556046e-12,,powerlaw+bbodyrad,,0.9613305664882558,False
00030034213wt,60949.433257631616,0.0005047050944995135,1.8363260116166223e-10,2.229563377707789e-11,2.5121072746144815e-11,,powerlaw+bbodyrad,,0.9873238815536995,False
00030034213pc,60949.438578666704,0.010098847225890495,2.4148655706703736e-10,1.3509910714781786e-11,1.470991648061967e-11,,powerlaw+bbodyrad,,0.5698089282142561,True
